round,accuracy,loss
0,19.77,2.189377147940141
1,27.46,1.9628447309325012
2,24.45,1.9281286619886566
3,28.77,1.8169487594049187
4,32.11,1.825822569146941
5,35.65,1.6856217127812059
6,41.12,1.6435744204098666
7,43.91,1.5273188563841809
8,40.98,1.592801800257043
9,44.08,1.5574885984010334
10,46.09,1.4406628669062747
11,42.52,1.4965544878682004
12,45.69,1.49369917791101
13,49.17,1.3926971290684953
14,45.66,1.456522377231453
15,47.36,1.4177979819382294
16,48.84,1.3851763704155065
17,44.84,1.4852074007444744
18,49.03,1.4243787029121495
19,52.43,1.2976412395887738
20,47.92,1.4502738367153118
21,51.71,1.349119367478769
22,50.4,1.3541001172005376
23,49.27,1.3914114327370366
24,53.44,1.306198953073236
25,55.08,1.2531079929086226
26,52.46,1.3123439278783677
27,51.66,1.323397514186328
28,52.7,1.3083339401438265
29,56.02,1.2295649760886083
30,53.98,1.2828941209406792
31,53.03,1.3200913260254679
32,52.53,1.3204532212848905
33,57.27,1.184850578821158
34,55.55,1.2522203341315064
35,56.5,1.2106621242776703
36,53.64,1.28443459317654
37,58.02,1.1838806158379664
38,51.29,1.3344002788579916
39,56.4,1.2470146742048143
40,56.16,1.22318964743916
41,58.0,1.1748011542271963
42,57.98,1.1900662100767787
43,58.42,1.1565868039674396
44,58.84,1.1467131904408903
45,55.69,1.2487757379495645
46,58.27,1.1565983951846255
47,56.52,1.229451297959195
48,58.86,1.150141919715495
49,59.82,1.1280127190336395
