round,accuracy,loss
0,14.92,2.241335908068886
1,18.82,2.6174359623389907
2,23.09,2.1210746870765202
3,22.58,2.4772203964523123
4,24.24,2.060840259624433
5,29.01,2.3318859489658212
6,25.45,2.0536555429048176
7,30.27,2.3475717351406433
8,32.81,2.041131443615201
9,31.84,2.207813596423668
10,30.19,1.9707094596911081
11,32.11,1.9383087475088578
12,35.52,1.9378777772565432
13,39.51,1.6043348493455332
14,37.04,1.9812501638750486
15,41.38,1.650813730457161
16,36.6,1.972814943217024
17,41.55,1.5476066990743709
18,38.09,1.9530854617493063
19,41.37,1.6015507541125333
20,43.01,1.6207621565347985
21,39.48,1.6507556740241716
22,42.06,1.6247487053086487
23,39.84,1.7944325842434847
24,44.84,1.5223748095427887
25,44.0,1.5613335114491136
26,44.02,1.6065299842931047
27,44.83,1.4919432477106023
28,45.76,1.4467565439924408
29,45.64,1.5684529739090158
30,47.89,1.4366622061669072
31,43.48,1.7477805342855333
32,47.4,1.4171131004261066
33,47.14,1.4799910889396184
34,50.66,1.3828090399126463
35,42.74,1.6944695062275175
36,46.97,1.4579958553555645
37,45.75,1.5819063382812693
38,51.81,1.3075509524043603
39,45.44,1.6179514791392073
40,49.38,1.4454024833968924
41,46.05,1.5917864147620866
42,40.9,1.877813453915753
43,52.74,1.3097418727754038
44,50.36,1.3905350015133242
45,52.61,1.2988758917096295
46,50.27,1.4269218957876857
47,50.37,1.4161215266094933
48,50.75,1.4191705818417706
49,52.67,1.3432381967954998
