round,accuracy,loss
0,10.0,2.836800511879257
1,17.5,2.1993815325483492
2,17.11,2.2710117388375197
3,22.23,2.1135009165051617
4,15.27,2.4894201936601084
5,13.55,2.3654271620738356
6,18.87,2.3854929314383977
7,29.52,2.048571809937682
8,26.1,2.114271446119381
9,27.68,2.071930999997296
10,22.45,2.2074034606354145
11,31.28,2.0095251330846473
12,20.38,2.2396432629114464
13,17.68,2.2978256503237953
14,37.53,1.8645855490165422
15,26.26,2.072525541993636
16,37.33,1.8422148544577104
17,30.63,1.9861748173267026
18,39.37,1.7994015503533278
19,33.58,1.8685545453542396
20,38.58,1.690542255775838
21,32.87,1.8133194340935237
22,41.62,1.651356408867655
23,35.87,1.8674736671809908
24,40.61,1.6472086740445486
25,28.16,1.9458009004592896
26,41.15,1.6161716240870803
27,44.41,1.585538941093638
28,43.75,1.6213853811915917
29,45.59,1.6568602021736434
30,41.44,1.6001678433599351
31,40.39,1.7034066824973384
32,42.66,1.7330192916000946
33,43.92,1.5308262577539757
34,36.7,1.710407676576059
35,45.83,1.5168326157557814
36,45.25,1.5074788467793525
37,43.84,1.5920241950433465
38,32.36,1.7162122620811946
39,32.88,1.8204943379269372
40,44.0,1.5710036769697937
41,46.45,1.4734669486178626
42,38.38,1.7250586370878582
43,45.34,1.474679921246782
44,41.77,1.5531822111033187
45,48.63,1.4588477988786335
46,44.36,1.5669746881798854
47,49.3,1.5162003327019606
48,47.61,1.438206447830683
49,44.4,1.5759426566618908
