round,accuracy,loss
0,10.0,4.373091045814224
1,17.97,2.4058560208429265
2,11.41,2.6346545551396625
3,24.14,2.2666554662245737
4,20.98,2.3586252339278597
5,10.44,3.2341783499415917
6,22.6,2.3378439915331106
7,28.32,2.6506548108933847
8,30.48,2.0946250987958304
9,34.16,1.9474033087114744
10,28.43,2.405194786530507
11,31.58,2.129120529452457
12,26.38,2.7541832048681716
13,36.16,2.229977037333235
14,34.42,1.84825663174255
15,36.34,2.256668715537349
16,41.09,1.7052934215038638
17,39.05,2.1418224044992953
18,40.19,1.652666134170339
19,33.87,2.645098773739006
20,38.61,1.7526942174645919
21,28.83,2.4358406640306303
22,18.03,3.128149325334573
23,42.16,1.678639227830911
24,41.69,1.9124579444716248
25,29.42,2.2958921254435674
26,33.15,2.203812016716486
27,41.28,1.9350529969493044
28,33.95,2.148212588286098
29,43.49,1.9177288797837269
30,22.88,2.679676037800463
31,43.76,1.5713681887976731
32,38.68,2.3588943360727046
33,45.13,1.6208180340030525
34,29.19,2.4572581837448895
35,46.22,1.637319270568558
36,28.93,2.357341324226766
37,44.04,1.7887348615670506
38,40.93,1.9889565992958937
39,36.52,1.910449868516077
40,43.25,2.0668082750296293
41,24.23,2.7103240821934955
42,34.01,2.131982251058651
43,41.91,1.788088966019546
44,33.39,1.9756645432001427
45,46.79,1.678282189972793
46,22.89,2.945310055455075
47,46.68,1.6952124381367164
48,33.49,1.9551243284080602
49,31.43,2.236090907567664
