round,accuracy,loss
0,10.0,4.4676713038094436
1,15.89,2.458494747741313
2,17.32,3.324343931825855
3,12.57,2.4587697288658044
4,22.9,2.3011334183849868
5,17.19,2.801903404767
6,36.35,2.3182866422435904
7,26.03,2.4023830920835083
8,20.06,2.2289037312133404
9,36.67,1.930458041686046
10,26.73,2.261900257460679
11,32.11,2.18969335435312
12,21.54,2.763746729379968
13,30.03,2.099887294105337
14,20.3,2.667957248567026
15,25.51,3.0510906720463233
16,19.82,2.920515416543695
17,30.23,2.5560861026184467
18,20.41,3.1538367905194247
19,40.72,1.9912776645225814
20,21.04,2.714993845058393
21,32.43,2.022337465346614
22,20.23,2.9588041094285025
23,39.23,1.747312722326834
24,31.13,2.103043876116789
25,40.43,2.039440588106083
26,30.98,2.203761749629733
27,42.11,1.68169170844404
28,22.35,2.862676412244386
29,44.29,1.5841762521598912
30,29.36,2.2968071367167218
31,43.37,1.829867630065242
32,39.01,1.7544216717345804
33,45.25,1.694347464585606
34,21.91,3.156423517420322
35,30.95,2.15634190432633
36,42.5,2.001628033722503
37,47.28,1.5056411118447026
38,29.14,2.2368283060532583
39,31.99,2.3028197635578205
40,19.89,3.2385704396646235
41,44.88,1.8046760951416403
42,29.88,2.2311218463921847
43,35.8,2.07363874701005
44,44.72,1.7368395901933502
45,30.1,2.704309179813047
46,42.89,1.9650224281262747
47,39.7,1.840061068534851
48,45.72,1.5486288312115246
49,41.07,2.066132015819791
