0,client_008,2.7983968257904053
0,client_005,3.9216322898864746
0,client_001,3.3893072605133057
0,client_009,4.990749359130859
0,client_003,4.906714677810669
1,client_008,1.572099208831787
1,client_005,2.3178350925445557
1,client_001,3.6110715866088867
1,client_009,4.297292709350586
1,client_002,3.829921007156372
2,client_007,7.2199225425720215
2,client_003,7.500668048858643
2,client_008,3.3036022186279297
2,client_005,2.7509546279907227
2,client_001,3.547168016433716
3,client_004,4.342260837554932
3,client_010,5.273183822631836
3,client_002,3.8176205158233643
3,client_006,6.288867712020874
3,client_008,3.1686456203460693
4,client_009,3.5366153717041016
4,client_001,3.531585693359375
4,client_010,2.633985996246338
4,client_004,5.449814319610596
4,client_002,4.9912965297698975
5,client_008,3.2858152389526367
5,client_007,7.303465366363525
5,client_003,7.355661392211914
5,client_001,3.599872350692749
5,client_009,4.0139830112457275
6,client_006,4.1942455768585205
6,client_005,2.6575233936309814
6,client_004,5.624068021774292
6,client_002,4.735991954803467
6,client_008,3.046482563018799
7,client_001,3.6198318004608154
7,client_007,7.255534887313843
7,client_003,7.396867513656616
7,client_010,5.174324989318848
7,client_009,4.081790924072266
8,client_006,6.188142776489258
8,client_004,5.548548221588135
8,client_002,4.61042332649231
8,client_008,3.1800594329833984
8,client_001,3.540166139602661
9,client_005,2.8128116130828857
9,client_010,5.11485743522644
9,client_007,7.343457221984863
9,client_003,7.575955152511597
9,client_009,4.198881149291992
10,client_004,5.621334552764893
10,client_002,5.161343097686768
10,client_006,6.472448825836182
10,client_008,3.155874252319336
10,client_001,1.7608106136322021
11,client_010,5.163111209869385
11,client_007,7.226874113082886
11,client_004,2.993393898010254
11,client_009,4.324815511703491
11,client_008,3.2217164039611816
12,client_005,1.6811003684997559
12,client_001,3.4181926250457764
12,client_010,5.470118045806885
12,client_009,3.110788583755493
12,client_004,5.519108057022095
13,client_005,2.769383192062378
13,client_003,7.446576833724976
13,client_006,5.413794755935669
13,client_010,3.496777296066284
13,client_009,3.5930023193359375
